,ds,y,yhat1,residual1,trend,season_yearly,season_weekly
530,2018-12-08,,24.568588256835938,,22.347227096557617,2.267453908920288,-0.04609207063913345
531,2018-12-09,,24.58855438232422,,22.347503662109375,2.2870781421661377,-0.0460270531475544
532,2018-12-10,,24.648679733276367,,22.347780227661133,2.307767391204834,-0.006867800373584032
533,2018-12-11,,24.631454467773438,,22.34805679321289,2.329759359359741,-0.046361520886421204
534,2018-12-12,,24.605642318725586,,22.34833526611328,2.353276014328003,-0.09596841037273407
535,2018-12-13,,24.86016845703125,,22.348609924316406,2.378527879714966,0.13302908837795258
536,2018-12-14,,24.862884521484375,,22.348888397216797,2.4057071208953857,0.1082877665758133
537,2018-12-15,,24.73805809020996,,22.349166870117188,2.4349849224090576,-0.04609207063913345
538,2018-12-16,,24.769927978515625,,22.349441528320312,2.4665117263793945,-0.0460270531475544
539,2018-12-17,,24.843265533447266,,22.349720001220703,2.500413179397583,-0.006867800373584032
540,2018-12-18,,24.84042739868164,,22.34999656677246,2.536792755126953,-0.046361520886421204
541,2018-12-19,,24.83003044128418,,22.35027313232422,2.5757248401641846,-0.09596841037273407
542,2018-12-20,,25.10083770751953,,22.35055160522461,2.6172566413879395,0.13302908837795258
543,2018-12-21,,25.12052345275879,,22.350826263427734,2.6614081859588623,0.1082877665758133
544,2018-12-22,,25.01318359375,,22.351104736328125,2.708171844482422,-0.04609207063913345
545,2018-12-23,,25.062862396240234,,22.35137939453125,2.7575085163116455,-0.0460270531475544
546,2018-12-24,,25.154142379760742,,22.35165786743164,2.809351682662964,-0.006867800373584032
547,2018-12-25,,25.169179916381836,,22.35193634033203,2.8636066913604736,-0.046361520886421204
548,2018-12-26,,25.176395416259766,,22.352210998535156,2.920151710510254,-0.09596841037273407
549,2018-12-27,,25.46435546875,,22.352489471435547,2.978837251663208,0.13302908837795258
550,2018-12-28,,25.50054359436035,,22.352766036987305,3.039489507675171,0.1082877665758133
551,2018-12-29,,25.40886116027832,,22.353042602539062,3.1019105911254883,-0.04609207063913345
552,2018-12-30,,25.47317123413086,,22.35331916809082,3.165879249572754,-0.0460270531475544
553,2018-12-31,,25.5778865814209,,22.353595733642578,3.2311575412750244,-0.006867800373584032
554,2019-01-01,,25.604999542236328,,22.35387420654297,3.2974860668182373,-0.046361520886421204
555,2019-01-02,,25.622774124145508,,22.354150772094727,3.364591598510742,-0.09596841037273407
556,2019-01-03,,25.91964340209961,,22.354427337646484,3.432187080383301,0.13302908837795258
557,2019-01-04,,25.962968826293945,,22.354705810546875,3.499976396560669,0.1082877665758133
558,2019-01-05,,25.876544952392578,,22.35498046875,3.567654848098755,-0.04609207063913345
559,2019-01-06,,25.94414520263672,,22.35525894165039,3.634913444519043,-0.0460270531475544
560,2019-01-07,,26.050107955932617,,22.35553550720215,3.7014405727386475,-0.006867800373584032
561,2019-01-08,,26.076377868652344,,22.355812072753906,3.7669260501861572,-0.046361520886421204
562,2019-01-09,,26.091182708740234,,22.356088638305664,3.8310635089874268,-0.09596841037273407
563,2019-01-10,,26.382946014404297,,22.356365203857422,3.8935532569885254,0.13302908837795258
564,2019-01-11,,26.41903305053711,,22.356643676757812,3.95410418510437,0.1082877665758133
565,2019-01-12,,26.323265075683594,,22.35692024230957,4.01243782043457,-0.04609207063913345
566,2019-01-13,,26.379459381103516,,22.357196807861328,4.068290710449219,-0.0460270531475544
567,2019-01-14,,26.47201919555664,,22.35747528076172,4.1214141845703125,-0.006867800373584032
568,2019-01-15,,26.482967376708984,,22.357749938964844,4.171579837799072,-0.046361520886421204
569,2019-01-16,,26.480636596679688,,22.358028411865234,4.2185797691345215,-0.09596841037273407
570,2019-01-17,,26.753562927246094,,22.358304977416992,4.262230396270752,0.13302908837795258
571,2019-01-18,,26.769237518310547,,22.35858154296875,4.3023681640625,0.1082877665758133
572,2019-01-19,,26.651622772216797,,22.358858108520508,4.338858127593994,-0.04609207063913345
573,2019-01-20,,26.68470001220703,,22.359134674072266,4.371589660644531,-0.0460270531475544
574,2019-01-21,,26.75302505493164,,22.359413146972656,4.400480270385742,-0.006867800373584032
575,2019-01-22,,26.738800048828125,,22.359689712524414,4.425473690032959,-0.046361520886421204
576,2019-01-23,,26.710540771484375,,22.359966278076172,4.446541786193848,-0.09596841037273407
577,2019-01-24,,26.956954956054688,,22.360244750976562,4.463682651519775,0.13302908837795258
578,2019-01-25,,26.945728302001953,,22.360519409179688,4.476921558380127,0.1082877665758133
579,2019-01-26,,26.80101776123047,,22.360797882080078,4.4863104820251465,-0.04609207063913345
580,2019-01-27,,26.80697250366211,,22.361072540283203,4.491925239562988,-0.0460270531475544
581,2019-01-28,,26.848350524902344,,22.361351013183594,4.493866920471191,-0.006867800373584032
582,2019-01-29,,26.80752182006836,,22.36162757873535,4.492254734039307,-0.046361520886421204
583,2019-01-30,,26.753170013427734,,22.36190414428711,4.487234592437744,-0.09596841037273407
584,2019-01-31,,26.974178314208984,,22.3621826171875,4.478965759277344,0.13302908837795258
585,2019-02-01,,26.938373565673828,,22.362459182739258,4.467626571655273,0.1082877665758133
586,2019-02-02,,26.77005386352539,,22.362735748291016,4.453408718109131,-0.04609207063913345
587,2019-02-03,,26.753501892089844,,22.363014221191406,4.436516761779785,-0.0460270531475544
588,2019-02-04,,26.77358627319336,,22.36328887939453,4.4171624183654785,-0.006867800373584032
589,2019-02-05,,26.712772369384766,,22.363567352294922,4.395567893981934,-0.046361520886421204
590,2019-02-06,,26.63983154296875,,22.36384391784668,4.371955871582031,-0.09596841037273407
591,2019-02-07,,26.843704223632812,,22.364120483398438,4.346552848815918,0.13302908837795258
592,2019-02-08,,26.792266845703125,,22.364397048950195,4.319582939147949,0.1082877665758133
593,2019-02-09,,26.609851837158203,,22.364673614501953,4.291268825531006,-0.04609207063913345
594,2019-02-10,,26.58074951171875,,22.364952087402344,4.261823654174805,-0.0460270531475544
595,2019-02-11,,26.58981704711914,,22.3652286529541,4.2314558029174805,-0.006867800373584032
596,2019-02-12,,26.51950454711914,,22.36550521850586,4.20035982131958,-0.046361520886421204
597,2019-02-13,,26.438533782958984,,22.365781784057617,4.16871976852417,-0.09596841037273407
598,2019-02-14,,26.635791778564453,,22.366058349609375,4.136703014373779,0.13302908837795258
599,2019-02-15,,26.579086303710938,,22.366336822509766,4.104461193084717,0.1082877665758133
600,2019-02-16,,26.39264678955078,,22.36661148071289,4.072126865386963,-0.04609207063913345
601,2019-02-17,,26.360675811767578,,22.36688995361328,4.03981351852417,-0.0460270531475544
602,2019-02-18,,26.367916107177734,,22.36716651916504,4.007614612579346,-0.006867800373584032
603,2019-02-19,,26.29668426513672,,22.367443084716797,3.9756014347076416,-0.046361520886421204
604,2019-02-20,,26.215576171875,,22.367721557617188,3.9438226222991943,-0.09596841037273407
605,2019-02-21,,26.413330078125,,22.367998123168945,3.912304162979126,0.13302908837795258
606,2019-02-22,,26.35761260986328,,22.368274688720703,3.881052017211914,0.1082877665758133
607,2019-02-23,,26.172508239746094,,22.368553161621094,3.8500468730926514,-0.04609207063913345
608,2019-02-24,,26.142051696777344,,22.36882781982422,3.8192498683929443,-0.0460270531475544
609,2019-02-25,,26.150836944580078,,22.36910629272461,3.788599967956543,-0.006867800373584032
610,2019-02-26,,26.081035614013672,,22.369380950927734,3.7580156326293945,-0.046361520886421204
611,2019-02-27,,26.00109100341797,,22.369659423828125,3.7273988723754883,-0.09596841037273407
612,2019-02-28,,26.19959831237793,,22.369935989379883,3.696632146835327,0.13302908837795258
613,2019-03-01,,26.14408302307129,,22.37021255493164,3.6655826568603516,0.1082877665758133
614,2019-03-02,,25.95850372314453,,22.37049102783203,3.634105682373047,-0.04609207063913345
615,2019-03-03,,25.926782608032227,,22.37076759338379,3.6020421981811523,-0.0460270531475544
616,2019-03-04,,25.933401107788086,,22.371044158935547,3.5692250728607178,-0.006867800373584032
617,2019-03-05,,25.86043930053711,,22.371320724487305,3.53548002243042,-0.046361520886421204
618,2019-03-06,,25.776256561279297,,22.371597290039062,3.5006279945373535,-0.09596841037273407
619,2019-03-07,,25.969390869140625,,22.371875762939453,3.464486598968506,0.13302908837795258
620,2019-03-08,,25.90731430053711,,22.372150421142578,3.4268746376037598,0.1082877665758133
621,2019-03-09,,25.71394920349121,,22.37242889404297,3.3876121044158936,-0.04609207063913345
622,2019-03-10,,25.67320442199707,,22.372705459594727,3.3465254306793213,-0.0460270531475544
623,2019-03-11,,25.66956329345703,,22.372982025146484,3.303447961807251,-0.006867800373584032
624,2019-03-12,,25.585121154785156,,22.373260498046875,3.258222818374634,-0.046361520886421204
625,2019-03-13,,25.48827362060547,,22.373537063598633,3.2107045650482178,-0.09596841037273407
626,2019-03-14,,25.667606353759766,,22.37381362915039,3.1607627868652344,0.13302908837795258
627,2019-03-15,,25.590660095214844,,22.37409019470215,3.1082828044891357,0.1082877665758133
628,2019-03-16,,25.38144302368164,,22.374366760253906,3.0531673431396484,-0.04609207063913345
629,2019-03-17,,25.323955535888672,,22.374645233154297,2.9953384399414062,-0.0460270531475544
630,2019-03-18,,25.302793502807617,,22.374919891357422,2.9347405433654785,-0.006867800373584032
631,2019-03-19,,25.200172424316406,,22.375198364257812,2.8713371753692627,-0.046361520886421204
632,2019-03-20,,25.084625244140625,,22.375476837158203,2.805117130279541,-0.09596841037273407
633,2019-03-21,,25.244871139526367,,22.375751495361328,2.7360904216766357,0.13302908837795258
634,2019-03-22,,25.148609161376953,,22.37602996826172,2.664292097091675,0.1082877665758133
635,2019-03-23,,24.919994354248047,,22.376306533813477,2.58978009223938,-0.04609207063913345
636,2019-03-24,,24.84319305419922,,22.376583099365234,2.512636184692383,-0.0460270531475544
637,2019-03-25,,24.802955627441406,,22.376859664916992,2.432965040206909,-0.006867800373584032
638,2019-03-26,,24.681669235229492,,22.37713623046875,2.350893259048462,-0.046361520886421204
639,2019-03-27,,24.548015594482422,,22.37741470336914,2.2665696144104004,-0.09596841037273407
640,2019-03-28,,24.690879821777344,,22.377689361572266,2.1801609992980957,0.13302908837795258
641,2019-03-29,,24.578109741210938,,22.377967834472656,2.0918538570404053,0.1082877665758133
642,2019-03-30,,24.334003448486328,,22.378246307373047,2.0018515586853027,-0.04609207063913345
643,2019-03-31,,24.24286651611328,,22.378520965576172,1.9103710651397705,-0.0460270531475544
644,2019-04-01,,24.189573287963867,,22.378799438476562,1.8176432847976685,-0.006867800373584032
645,2019-04-02,,24.056621551513672,,22.37907600402832,1.7239079475402832,-0.046361520886421204
646,2019-04-03,,23.912797927856445,,22.379352569580078,1.6294137239456177,-0.09596841037273407
647,2019-04-04,,24.047073364257812,,22.379629135131836,1.5344140529632568,0.13302908837795258
648,2019-04-05,,23.927356719970703,,22.379905700683594,1.439164400100708,0.1082877665758133
649,2019-04-06,,23.67801284790039,,22.380184173583984,1.3439215421676636,-0.04609207063913345
650,2019-04-07,,23.583372116088867,,22.38045883178711,1.2489389181137085,-0.0460270531475544
651,2019-04-08,,23.528331756591797,,22.3807373046875,1.1544636487960815,-0.006867800373584032
652,2019-04-09,,23.395389556884766,,22.38101577758789,1.060736894607544,-0.046361520886421204
653,2019-04-10,,23.25330924987793,,22.381290435791016,0.9679867029190063,-0.09596841037273407
654,2019-04-11,,23.39102554321289,,22.381568908691406,0.8764291405677795,0.13302908837795258
655,2019-04-12,,23.276397705078125,,22.381845474243164,0.7862647175788879,0.1082877665758133
656,2019-04-13,,23.033706665039062,,22.382122039794922,0.6976754665374756,-0.04609207063913345
657,2019-04-14,,22.94719696044922,,22.38239860534668,0.610824465751648,-0.0460270531475544
658,2019-04-15,,22.901660919189453,,22.382675170898438,0.5258519649505615,-0.006867800373584032
659,2019-04-16,,22.77946662902832,,22.382953643798828,0.4428754150867462,-0.046361520886421204
660,2019-04-17,,22.649250030517578,,22.383228302001953,0.36198729276657104,-0.09596841037273407
661,2019-04-18,,22.799789428710938,,22.383506774902344,0.2832545340061188,0.13302908837795258
662,2019-04-19,,22.698787689208984,,22.383785247802734,0.20671676099300385,0.1082877665758133
663,2019-04-20,,22.470355987548828,,22.38405990600586,0.13238662481307983,-0.04609207063913345
664,2019-04-21,,22.3985595703125,,22.38433837890625,0.060248441994190216,-0.0460270531475544
665,2019-04-22,,22.368005752563477,,22.384613037109375,-0.00974008534103632,-0.006867800373584032
666,2019-04-23,,22.260881423950195,,22.384891510009766,-0.07764946669340134,-0.046361520886421204
667,2019-04-24,,22.1456241607666,,22.385168075561523,-0.1435762494802475,-0.09596841037273407
668,2019-04-25,,22.31083106994629,,22.38544464111328,-0.20764337480068207,0.13302908837795258
669,2019-04-26,,22.224010467529297,,22.385723114013672,-0.2699980139732361,0.1082877665758133
670,2019-04-27,,22.009098052978516,,22.385997772216797,-0.3308102488517761,-0.04609207063913345
671,2019-04-28,,21.94997787475586,,22.386276245117188,-0.39027148485183716,-0.0460270531475544
672,2019-04-29,,21.931093215942383,,22.386554718017578,-0.44859322905540466,-0.006867800373584032
673,2019-04-30,,21.83446502685547,,22.386829376220703,-0.5060033798217773,-0.046361520886421204
674,2019-05-01,,21.7283935546875,,22.387107849121094,-0.5627442598342896,-0.09596841037273407
675,2019-05-02,,21.901342391967773,,22.38738441467285,-0.6190710663795471,0.13302908837795258
676,2019-05-03,,21.820701599121094,,22.38766098022461,-0.6752477884292603,0.1082877665758133
677,2019-05-04,,21.610301971435547,,22.387937545776367,-0.7315444350242615,-0.04609207063913345
678,2019-05-05,,21.553951263427734,,22.388214111328125,-0.7882353663444519,-0.0460270531475544
679,2019-05-06,,21.536029815673828,,22.388492584228516,-0.8455943465232849,-0.006867800373584032
680,2019-05-07,,21.438514709472656,,22.38876724243164,-0.9038919806480408,-0.046361520886421204
681,2019-05-08,,21.329681396484375,,22.38904571533203,-0.9633943438529968,-0.09596841037273407
682,2019-05-09,,21.49799346923828,,22.38932228088379,-1.0243569612503052,0.13302908837795258
683,2019-05-10,,21.41086196899414,,22.389598846435547,-1.087024211883545,0.1082877665758133
684,2019-05-11,,21.192157745361328,,22.389877319335938,-1.151625156402588,-0.04609207063913345
685,2019-05-12,,21.125755310058594,,22.390151977539062,-1.2183705568313599,-0.0460270531475544
686,2019-05-13,,21.096111297607422,,22.390430450439453,-1.287452220916748,-0.006867800373584032
687,2019-05-14,,20.985309600830078,,22.39070701599121,-1.3590368032455444,-0.046361520886421204
688,2019-05-15,,20.86174774169922,,22.39098358154297,-1.4332669973373413,-0.09596841037273407
689,2019-05-16,,21.0140323638916,,22.39126205444336,-1.510258436203003,0.13302908837795258
690,2019-05-17,,20.90972900390625,,22.391536712646484,-1.590097427368164,0.1082877665758133
691,2019-05-18,,20.672882080078125,,22.391815185546875,-1.6728394031524658,-0.04609207063913345
692,2019-05-19,,20.587554931640625,,22.392091751098633,-1.758508324623108,-0.0460270531475544
693,2019-05-20,,20.538406372070312,,22.39236831665039,-1.8470953702926636,-0.006867800373584032
694,2019-05-21,,20.407726287841797,,22.39264678955078,-1.9385589361190796,-0.046361520886421204
695,2019-05-22,,20.264129638671875,,22.392921447753906,-2.0328240394592285,-0.09596841037273407
696,2019-05-23,,20.396448135375977,,22.393199920654297,-2.1297805309295654,0.13302908837795258
697,2019-05-24,,20.272476196289062,,22.393476486206055,-2.229288101196289,0.1082877665758133
698,2019-05-25,,20.016489028930664,,22.393753051757812,-2.3311727046966553,-0.04609207063913345
699,2019-05-26,,19.91277313232422,,22.39402961730957,-2.4352288246154785,-0.0460270531475544
700,2019-05-27,,19.84621810913086,,22.39430809020996,-2.541222333908081,-0.006867800373584032
701,2019-05-28,,19.69933319091797,,22.39458465576172,-2.648890256881714,-0.046361520886421204
702,2019-05-29,,19.54094696044922,,22.394861221313477,-2.757943868637085,-0.09596841037273407
703,2019-05-30,,19.66009521484375,,22.395137786865234,-2.868072032928467,0.13302908837795258
704,2019-05-31,,19.524763107299805,,22.395416259765625,-2.9789397716522217,0.1082877665758133
705,2019-06-01,,19.259403228759766,,22.39569091796875,-3.0901949405670166,-0.04609207063913345
706,2019-06-02,,19.14847183227539,,22.39596939086914,-3.2014713287353516,-0.0460270531475544
707,2019-06-03,,19.076990127563477,,22.3962459564209,-3.312387704849243,-0.006867800373584032
708,2019-06-04,,18.9276065826416,,22.396522521972656,-3.4225544929504395,-0.046361520886421204
709,2019-06-05,,18.76925277709961,,22.396799087524414,-3.5315768718719482,-0.09596841037273407
710,2019-06-06,,18.891048431396484,,22.397077560424805,-3.6390581130981445,0.13302908837795258
711,2019-06-07,,18.76103973388672,,22.397354125976562,-3.7446017265319824,0.1082877665758133
712,2019-06-08,,18.50372314453125,,22.39763069152832,-3.8478145599365234,-0.04609207063913345
713,2019-06-09,,18.403566360473633,,22.397907257080078,-3.9483137130737305,-0.0460270531475544
714,2019-06-10,,18.345590591430664,,22.39818572998047,-4.045726776123047,-0.006867800373584032
715,2019-06-11,,18.21240234375,,22.398460388183594,-4.1396965980529785,-0.046361520886421204
716,2019-06-12,,18.07288932800293,,22.398738861083984,-4.229881286621094,-0.09596841037273407
717,2019-06-13,,18.216081619262695,,22.399015426635742,-4.315963268280029,0.13302908837795258
718,2019-06-14,,18.10993194580078,,22.3992919921875,-4.397647380828857,0.1082877665758133
719,2019-06-15,,17.878812789916992,,22.399568557739258,-4.474663734436035,-0.04609207063913345
720,2019-06-16,,17.80704689025879,,22.39984703063965,-4.546772480010986,-0.0460270531475544
721,2019-06-17,,17.779491424560547,,22.400123596191406,-4.613763332366943,-0.006867800373584032
722,2019-06-18,,17.678579330444336,,22.400400161743164,-4.675459384918213,-0.046361520886421204
723,2019-06-19,,17.57299041748047,,22.400676727294922,-4.731718063354492,-0.09596841037273407
724,2019-06-20,,17.751556396484375,,22.400955200195312,-4.782427787780762,0.13302908837795258
725,2019-06-21,,17.68199920654297,,22.401229858398438,-4.827520370483398,0.1082877665758133
726,2019-06-22,,17.48845863342285,,22.401508331298828,-4.86695671081543,-0.04609207063913345
727,2019-06-23,,17.455018997192383,,22.401784896850586,-4.9007391929626465,-0.0460270531475544
728,2019-06-24,,17.466289520263672,,22.402061462402344,-4.9289045333862305,-0.006867800373584032
729,2019-06-25,,17.404451370239258,,22.4023380279541,-4.951526165008545,-0.046361520886421204
730,2019-06-26,,17.33793830871582,,22.40261459350586,-4.968708038330078,-0.09596841037273407
731,2019-06-27,,17.555326461791992,,22.40289306640625,-4.98059606552124,0.13302908837795258
732,2019-06-28,,17.524097442626953,,22.403169631958008,-4.987359046936035,0.1082877665758133
733,2019-06-29,,17.36815071105957,,22.403446197509766,-4.989202976226807,-0.04609207063913345
734,2019-06-30,,17.371337890625,,22.403724670410156,-4.986358165740967,-0.0460270531475544
735,2019-07-01,,17.418052673339844,,22.40399932861328,-4.979080677032471,-0.006867800373584032
736,2019-07-02,,17.3902645111084,,22.404277801513672,-4.967650890350342,-0.046361520886421204
737,2019-07-03,,17.356218338012695,,22.40455436706543,-4.952367782592773,-0.09596841037273407
738,2019-07-04,,17.60430908203125,,22.404830932617188,-4.9335503578186035,0.13302908837795258
739,2019-07-05,,17.601869583129883,,22.405107498168945,-4.911525726318359,0.1082877665758133
740,2019-07-06,,17.47265625,,22.405385971069336,-4.8866376876831055,-0.04609207063913345
741,2019-07-07,,17.50040054321289,,22.405662536621094,-4.859233379364014,-0.0460270531475544
742,2019-07-08,,17.569406509399414,,22.40593910217285,-4.82966423034668,-0.006867800373584032
743,2019-07-09,,17.561573028564453,,22.40621566772461,-4.798281192779541,-0.046361520886421204
744,2019-07-10,,17.545089721679688,,22.406494140625,-4.765435695648193,-0.09596841037273407
745,2019-07-11,,17.808332443237305,,22.406768798828125,-4.731466770172119,0.13302908837795258
746,2019-07-12,,17.818626403808594,,22.407047271728516,-4.6967082023620605,0.1082877665758133
747,2019-07-13,,17.69975471496582,,22.40732192993164,-4.661475658416748,-0.04609207063913345
748,2019-07-14,,17.735498428344727,,22.40760040283203,-4.626075744628906,-0.0460270531475544
749,2019-07-15,,17.810218811035156,,22.40787696838379,-4.590789794921875,-0.006867800373584032
750,2019-07-16,,17.80591583251953,,22.408153533935547,-4.555877685546875,-0.046361520886421204
751,2019-07-17,,17.790884017944336,,22.408432006835938,-4.521579742431641,-0.09596841037273407
752,2019-07-18,,18.053630828857422,,22.408708572387695,-4.488106727600098,0.13302908837795258
753,2019-07-19,,18.06163215637207,,22.408985137939453,-4.4556403160095215,0.1082877665758133
754,2019-07-20,,17.93883514404297,,22.409263610839844,-4.42433500289917,-0.04609207063913345
755,2019-07-21,,17.96919822692871,,22.40953826904297,-4.394313812255859,-0.0460270531475544
756,2019-07-22,,18.037281036376953,,22.40981674194336,-4.36566686630249,-0.006867800373584032
757,2019-07-23,,18.025279998779297,,22.410093307495117,-4.338453769683838,-0.046361520886421204
758,2019-07-24,,18.0017032623291,,22.410369873046875,-4.312699317932129,-0.09596841037273407
759,2019-07-25,,18.255277633666992,,22.410648345947266,-4.288398265838623,0.13302908837795258
760,2019-07-26,,18.253700256347656,,22.41092300415039,-4.265511512756348,0.1082877665758133
761,2019-07-27,,18.121139526367188,,22.41120147705078,-4.2439703941345215,-0.04609207063913345
762,2019-07-28,,18.14177703857422,,22.41147804260254,-4.223674297332764,-0.0460270531475544
763,2019-07-29,,18.200389862060547,,22.411754608154297,-4.204496383666992,-0.006867800373584032
764,2019-07-30,,18.17938995361328,,22.412031173706055,-4.186280250549316,-0.046361520886421204
765,2019-07-31,,18.147493362426758,,22.412307739257812,-4.16884708404541,-0.09596841037273407
766,2019-08-01,,18.393619537353516,,22.412586212158203,-4.151994705200195,0.13302908837795258
767,2019-08-02,,18.385648727416992,,22.412860870361328,-4.135501384735107,0.1082877665758133
768,2019-08-03,,18.247920989990234,,22.41313934326172,-4.119125843048096,-0.04609207063913345
769,2019-08-04,,18.264774322509766,,22.41341781616211,-4.102614402770996,-0.0460270531475544
770,2019-08-05,,18.321123123168945,,22.413692474365234,-4.085701942443848,-0.006867800373584032
771,2019-08-06,,18.299495697021484,,22.413970947265625,-4.068113803863525,-0.046361520886421204
772,2019-08-07,,18.268707275390625,,22.414247512817383,-4.049572467803955,-0.09596841037273407
773,2019-08-08,,18.517757415771484,,22.41452407836914,-4.029796600341797,0.13302908837795258
774,2019-08-09,,18.51458168029785,,22.41480255126953,-4.00850772857666,0.1082877665758133
775,2019-08-10,,18.383556365966797,,22.415077209472656,-3.985430955886841,-0.04609207063913345
776,2019-08-11,,18.409027099609375,,22.415355682373047,-3.9603002071380615,-0.0460270531475544
777,2019-08-12,,18.475902557373047,,22.415630340576172,-3.932861328125,-0.006867800373584032
778,2019-08-13,,18.4666748046875,,22.415908813476562,-3.9028725624084473,-0.046361520886421204
779,2019-08-14,,18.45010757446289,,22.416187286376953,-3.8701112270355225,-0.09596841037273407
780,2019-08-15,,18.715118408203125,,22.416461944580078,-3.834372043609619,0.13302908837795258
781,2019-08-16,,18.72955322265625,,22.41674041748047,-3.795473337173462,0.1082877665758133
